Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
,,,,,,,,,,,
Abadan.PG,20200722.0,15500.0,15500.0,15500.0,15500.0,3874996280000.0,249999760.0,5235505.0,D,1000.0,15500.0
Abadan.PG,20200725.0,16270.0,16270.0,16270.0,15570.0,5023720440.0,308772.0,6616.0,D,15500.0,16270.0
Abadan.PG,20200726.0,16340.0,16340.0,16340.0,16340.0,53022956860.0,3244979.0,6771.0,D,15570.0,16340.0
Abadan.PG,20200727.0,17150.0,17150.0,17150.0,17150.0,55732972400.0,3249736.0,7371.0,D,16340.0,17150.0
Abadan.PG,20200728.0,18000.0,18000.0,18000.0,18000.0,58438260000.0,3246570.0,8228.0,D,17150.0,18000.0
Abadan.PG,20200729.0,18900.0,18900.0,18900.0,18900.0,61493266800.0,3253612.0,13587.0,D,18000.0,18900.0
Abadan.PG,20200801.0,19840.0,19840.0,19840.0,19840.0,65019132160.0,3277174.0,10472.0,D,18900.0,19840.0
Abadan.PG,20200802.0,20830.0,20830.0,20830.0,20830.0,55662467580.0,2672226.0,10918.0,D,19840.0,20830.0
Abadan.PG,20200803.0,21870.0,21870.0,21870.0,21870.0,58489346700.0,2674410.0,9682.0,D,20830.0,21870.0
Abadan.PG,20200804.0,22960.0,22960.0,22960.0,22960.0,61003434240.0,2656944.0,10920.0,D,21870.0,22960.0
Abadan.PG,20200805.0,24100.0,24100.0,24100.0,23700.0,41611469700.0,1726617.0,9010.0,D,22960.0,24100.0
Abadan.PG,20200811.0,24880.0,24880.0,24880.0,23860.0,7014916000.0,281950.0,6240.0,D,23700.0,24880.0
Abadan.PG,20200812.0,25050.0,25050.0,25050.0,25050.0,52971481500.0,2114630.0,4507.0,D,23860.0,25050.0
Abadan.PG,20200815.0,26300.0,26300.0,26300.0,26080.0,43316599700.0,1647019.0,5998.0,D,25050.0,26300.0
Abadan.PG,20200816.0,27380.0,27380.0,27380.0,27380.0,55316142560.0,2020312.0,4870.0,D,26080.0,27380.0
Abadan.PG,20200817.0,28740.0,28740.0,28740.0,28740.0,59456880900.0,2068785.0,11389.0,D,27380.0,28740.0
Abadan.PG,20200818.0,30170.0,30170.0,30170.0,30170.0,61352022480.0,2033544.0,20461.0,D,28740.0,30170.0
Abadan.PG,20200819.0,31670.0,31670.0,31670.0,31670.0,65358614130.0,2063739.0,28769.0,D,30170.0,31670.0
Abadan.PG,20200822.0,33250.0,33250.0,33250.0,33250.0,76829112500.0,2310650.0,32996.0,D,31670.0,33250.0
Abadan.PG,20200823.0,34910.0,34910.0,31590.0,31750.0,830618939280.0,26157184.0,47715.0,D,33250.0,31590.0
Abadan.PG,20200824.0,30170.0,30180.0,30170.0,30170.0,345623356800.0,11455862.0,52605.0,D,31750.0,30170.0
Abadan.PG,20200825.0,31670.0,31670.0,31330.0,31670.0,579667078070.0,18303352.0,92605.0,D,30170.0,31670.0
Abadan.PG,20200826.0,31800.0,33250.0,31670.0,32800.0,671294476510.0,20468456.0,55818.0,D,31670.0,33250.0
Abadan.PG,20200831.0,34440.0,34440.0,31400.0,33630.0,1786892161190.0,53139361.0,187871.0,D,32800.0,34430.0
Abadan.PG,20200901.0,33640.0,34790.0,32000.0,33520.0,992256944850.0,29599542.0,165210.0,D,33630.0,33400.0
Abadan.PG,20200902.0,32000.0,33300.0,31850.0,32080.0,140043211360.0,4365711.0,17942.0,D,33520.0,31850.0
Abadan.PG,20200905.0,31850.0,33000.0,30480.0,30900.0,513896727420.0,16632625.0,97483.0,D,32080.0,31330.0
Abadan.PG,20200906.0,31400.0,32000.0,29360.0,30460.0,250588646840.0,8226373.0,37705.0,D,30900.0,29360.0
Abadan.PG,20200907.0,28940.0,28940.0,28940.0,30110.0,10385813560.0,358874.0,673.0,D,30460.0,28940.0
Abadan.PG,20200908.0,28610.0,28610.0,28610.0,29910.0,5871029490.0,205209.0,423.0,D,30110.0,28610.0
Abadan.PG,20200909.0,28420.0,29690.0,28420.0,28660.0,813385479200.0,28385080.0,97440.0,D,29910.0,28450.0
Abadan.PG,20200912.0,28810.0,29900.0,27380.0,28510.0,543138425450.0,19052035.0,69894.0,D,28660.0,27690.0
Abadan.PG,20200913.0,27110.0,28000.0,27090.0,27170.0,63633640930.0,2342145.0,6140.0,D,28510.0,27090.0
Abadan.PG,20200914.0,25820.0,28000.0,25820.0,26340.0,709705078110.0,26941585.0,72139.0,D,27170.0,25890.0
Abadan.PG,20200915.0,26230.0,27650.0,26200.0,27390.0,519151223690.0,18955721.0,62110.0,D,26340.0,27650.0
Abadan.PG,20200916.0,28000.0,28490.0,26030.0,26930.0,334314398740.0,12415486.0,48290.0,D,27390.0,26030.0
Abadan.PG,20200919.0,25590.0,25590.0,25590.0,26230.0,24741870630.0,966857.0,907.0,D,26930.0,25590.0
Abadan.PG,20200920.0,24920.0,24920.0,24920.0,25910.0,11242633080.0,451149.0,643.0,D,26230.0,24920.0
Abadan.PG,20200921.0,24620.0,24620.0,24620.0,25780.0,4662240160.0,189368.0,324.0,D,25910.0,24620.0
Abadan.PG,20200922.0,24500.0,24500.0,24500.0,25520.0,9340674000.0,381252.0,606.0,D,25780.0,24500.0
Abadan.PG,20200923.0,24250.0,24250.0,24250.0,25010.0,17958822500.0,740570.0,1359.0,D,25520.0,24250.0
Abadan.PG,20200926.0,23760.0,23760.0,23760.0,24850.0,6198960240.0,260899.0,463.0,D,25010.0,23760.0
Abadan.PG,20200927.0,23610.0,23610.0,23610.0,24770.0,3138288420.0,132922.0,213.0,D,24850.0,23610.0
Abadan.PG,20200928.0,23540.0,23540.0,23540.0,24720.0,2038093200.0,86580.0,113.0,D,24770.0,23540.0
Abadan.PG,20200929.0,23490.0,23490.0,23490.0,24660.0,2328587190.0,99131.0,192.0,D,24720.0,23490.0
Abadan.PG,20200930.0,23430.0,23430.0,23430.0,24520.0,5347827210.0,228247.0,277.0,D,24660.0,23430.0
Abadan.PG,20201003.0,23300.0,23300.0,23300.0,23890.0,24347055400.0,1044938.0,1349.0,D,24520.0,23300.0
Abadan.PG,20201004.0,22700.0,22700.0,22700.0,23700.0,7363267100.0,324373.0,409.0,D,23890.0,22700.0
Abadan.PG,20201005.0,22520.0,22520.0,22520.0,23600.0,3964533400.0,176045.0,280.0,D,23700.0,22520.0
Abadan.PG,20201006.0,22420.0,24780.0,22420.0,23780.0,441608596710.0,18571629.0,133490.0,D,23600.0,24780.0
Abadan.PG,20201007.0,24770.0,24960.0,22700.0,24290.0,525536829680.0,21635592.0,112834.0,D,23780.0,24960.0
Abadan.PG,20201010.0,24300.0,25000.0,23080.0,23900.0,338423533550.0,14158216.0,73240.0,D,24290.0,24230.0
Abadan.PG,20201011.0,23950.0,25080.0,23010.0,24290.0,307561183870.0,12663673.0,62469.0,D,23900.0,23150.0
Abadan.PG,20201012.0,23080.0,23080.0,23080.0,23080.0,69982045080.0,3032151.0,11365.0,D,24290.0,23080.0
Abadan.PG,20201013.0,22100.0,23110.0,21930.0,22040.0,206428647460.0,9365900.0,40016.0,D,23080.0,21940.0
