Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
,,,,,,,,,,,
Opal.Kani.Pars,20210224.0,12420.0,12500.0,12000.0,12420.0,18573386770670.0,1495390152.0,2754511.0,D,1000.0,12500.0
Opal.Kani.Pars,20210227.0,13160.0,13160.0,13160.0,13160.0,144404772120.0,10973007.0,30903.0,D,12420.0,13160.0
Opal.Kani.Pars,20210228.0,13940.0,13940.0,13600.0,13940.0,4406603988420.0,316172698.0,428323.0,D,13160.0,13940.0
Opal.Kani.Pars,20210301.0,14770.0,14770.0,13940.0,14770.0,2309766905030.0,156393219.0,218445.0,D,13940.0,14770.0
Opal.Kani.Pars,20210302.0,15650.0,15650.0,15650.0,15650.0,678802192300.0,43373942.0,70458.0,D,14770.0,15650.0
Opal.Kani.Pars,20210303.0,16580.0,16580.0,15660.0,16190.0,8033820507540.0,496256136.0,610221.0,D,15650.0,15910.0
Opal.Kani.Pars,20210306.0,15870.0,15870.0,15870.0,15870.0,1056685937550.0,66583865.0,48962.0,D,16190.0,15870.0
Opal.Kani.Pars,20210307.0,15560.0,15980.0,15560.0,15600.0,4990363971870.0,319968295.0,305344.0,D,15870.0,15800.0
Opal.Kani.Pars,20210308.0,15800.0,16490.0,15760.0,16000.0,1780754890610.0,111283822.0,150663.0,D,15600.0,16160.0
Opal.Kani.Pars,20210309.0,16200.0,16340.0,15810.0,16000.0,1733221518780.0,108315016.0,118049.0,D,16000.0,15950.0
Opal.Kani.Pars,20210310.0,15920.0,16410.0,15680.0,16040.0,1040252744690.0,64856200.0,53887.0,D,16000.0,16260.0
Opal.Kani.Pars,20210313.0,16150.0,17000.0,16150.0,16860.0,914933700060.0,54277591.0,32690.0,D,16040.0,17000.0
Opal.Kani.Pars,20210314.0,17870.0,17870.0,17150.0,17820.0,2661806216460.0,149334951.0,55263.0,D,16860.0,17870.0
Opal.Kani.Pars,20210315.0,18000.0,18290.0,17470.0,17920.0,1132448576850.0,63189906.0,39619.0,D,17820.0,18070.0
Opal.Kani.Pars,20210316.0,18070.0,18600.0,17800.0,18080.0,819713923290.0,45343204.0,28031.0,D,17920.0,17990.0
Opal.Kani.Pars,20210317.0,17980.0,18100.0,17720.0,17900.0,859144895370.0,47994924.0,28125.0,D,18080.0,17970.0
Opal.Kani.Pars,20210327.0,18080.0,18080.0,17550.0,17610.0,724600401320.0,41146549.0,19119.0,D,17900.0,17570.0
Opal.Kani.Pars,20210328.0,17280.0,17930.0,17260.0,17380.0,604978742540.0,34801100.0,18864.0,D,17610.0,17670.0
Opal.Kani.Pars,20210330.0,17450.0,18290.0,17450.0,18110.0,438341590800.0,24209820.0,16782.0,D,17380.0,18240.0
Opal.Kani.Pars,20210331.0,18250.0,18700.0,17750.0,18200.0,469976750040.0,25818849.0,15632.0,D,18110.0,18280.0
Opal.Kani.Pars,20210403.0,18280.0,18490.0,17840.0,17980.0,547976150100.0,30469538.0,13574.0,D,18200.0,18000.0
Opal.Kani.Pars,20210404.0,17980.0,17980.0,17680.0,17730.0,341423041200.0,19253405.0,12931.0,D,17980.0,17750.0
Opal.Kani.Pars,20210405.0,17550.0,18180.0,17550.0,17910.0,329179827530.0,18375860.0,22745.0,D,17730.0,18090.0
