Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Iran.Counter,20030226.0,8300.0,8300.0,8000.0,8000.0,1293042000.0,157770.0,31.0,D,8300.0,8000.0
Iran.Counter,20030301.0,8000.0,8000.0,8000.0,8000.0,400000000.0,50000.0,5.0,D,8000.0,8000.0
Iran.Counter,20030302.0,8000.0,8000.0,8000.0,8000.0,258400000.0,32300.0,6.0,D,8000.0,8000.0
Iran.Counter,20030303.0,8000.0,8000.0,8000.0,8000.0,23312000.0,2914.0,3.0,D,8000.0,8000.0
Iran.Counter,20030304.0,8000.0,8000.0,7999.0,8000.0,598879500.0,74861.0,12.0,D,8000.0,8000.0
Iran.Counter,20030305.0,8000.0,8000.0,8000.0,8000.0,40000000.0,5000.0,1.0,D,8000.0,8000.0
Iran.Counter,20030308.0,7999.0,8000.0,7999.0,8000.0,16078010.0,2010.0,5.0,D,8000.0,8000.0
Iran.Counter,20030311.0,8000.0,8000.0,8000.0,8000.0,802512000.0,100314.0,468.0,D,8000.0,8000.0
Iran.Counter,20030312.0,8000.0,8000.0,8000.0,8000.0,798480000.0,99810.0,465.0,D,8000.0,8000.0
Iran.Counter,20030316.0,8000.0,8000.0,8000.0,8000.0,26080000.0,3260.0,9.0,D,8000.0,8000.0
Iran.Counter,20030318.0,8000.0,8000.0,8000.0,8000.0,3440000.0,430.0,3.0,D,8000.0,8000.0
Iran.Counter,20030408.0,8009.0,8009.0,8008.0,8008.0,12013000.0,1500.0,2.0,D,8000.0,8008.0
Iran.Counter,20030412.0,8025.0,8025.0,8022.0,8022.0,18524280.0,2309.0,3.0,D,8008.0,8022.0
Iran.Counter,20030413.0,8027.0,8027.0,8027.0,8027.0,24081000.0,3000.0,1.0,D,8022.0,8027.0
Iran.Counter,20030422.0,8428.0,8428.0,8428.0,8428.0,25284000.0,3000.0,6.0,D,8027.0,8428.0
Iran.Counter,20030427.0,8849.0,8849.0,8849.0,8849.0,45129900.0,5100.0,5.0,D,8428.0,8849.0
Iran.Counter,20030429.0,9000.0,9000.0,8950.0,8950.0,26857500.0,3000.0,3.0,D,8849.0,8950.0
Iran.Counter,20030504.0,9202.0,9202.0,9202.0,9202.0,36808000.0,4000.0,1.0,D,8950.0,9202.0
Iran.Counter,20030505.0,9400.0,9400.0,9400.0,9400.0,98953800.0,10527.0,3.0,D,9202.0,9400.0
Iran.Counter,20030506.0,9400.0,9400.0,9400.0,9400.0,37722200.0,4013.0,3.0,D,9400.0,9400.0
Iran.Counter,20030510.0,9400.0,9400.0,9400.0,9400.0,28171800.0,2997.0,5.0,D,9400.0,9400.0
Iran.Counter,20030512.0,9541.0,9547.0,9537.0,9547.0,13887195.0,1455.0,4.0,D,9400.0,9547.0
Iran.Counter,20030513.0,9549.0,9549.0,9542.0,9542.0,39244888.0,4112.0,6.0,D,9547.0,9542.0
Iran.Counter,20030520.0,10600.0,10800.0,10600.0,10800.0,30790400.0,2888.0,2.0,D,9542.0,10800.0
