Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Asan.Pardakht.Pers,20161017.0,9999.0,9999.0,9999.0,9999.0,825517440000.0,82560000.0,1384.0,D,1000.0,9999.0
Asan.Pardakht.Pers,20161018.0,10498.0,10498.0,10498.0,10498.0,20517490662.0,1954419.0,419.0,D,9999.0,10498.0
Asan.Pardakht.Pers,20161019.0,11022.0,11022.0,11022.0,10910.0,3470563272.0,314876.0,282.0,D,10498.0,11022.0
Asan.Pardakht.Pers,20161022.0,11455.0,11455.0,11455.0,11455.0,70183776960.0,6126912.0,406.0,D,10910.0,11455.0
Asan.Pardakht.Pers,20161023.0,12027.0,12027.0,12027.0,12027.0,162206140491.0,13486833.0,2465.0,D,11455.0,12027.0
Asan.Pardakht.Pers,20161024.0,12628.0,12628.0,12628.0,12628.0,17624381852.0,1395659.0,1614.0,D,12027.0,12628.0
Asan.Pardakht.Pers,20161025.0,13259.0,13259.0,13259.0,13259.0,5881175299.0,443561.0,448.0,D,12628.0,13259.0
Asan.Pardakht.Pers,20161026.0,13921.0,13921.0,13921.0,13921.0,237843361541.0,17085221.0,13368.0,D,13259.0,13921.0
Asan.Pardakht.Pers,20161029.0,14617.0,14617.0,14617.0,14617.0,27474464008.0,1879624.0,2017.0,D,13921.0,14617.0
Asan.Pardakht.Pers,20161030.0,15347.0,15347.0,15347.0,15347.0,8670042098.0,564934.0,879.0,D,14617.0,15347.0
Asan.Pardakht.Pers,20161031.0,16114.0,16114.0,15500.0,15870.0,503204961486.0,31708781.0,22714.0,D,15347.0,15530.0
Asan.Pardakht.Pers,20161101.0,15610.0,15970.0,15250.0,15639.0,193394216641.0,12365860.0,14682.0,D,15870.0,15420.0
Asan.Pardakht.Pers,20161102.0,15451.0,16211.0,15451.0,15946.0,108492435176.0,6803752.0,6163.0,D,15639.0,15910.0
Asan.Pardakht.Pers,20161105.0,15999.0,16743.0,15810.0,16424.0,159305449384.0,9699634.0,6677.0,D,15946.0,16743.0
Asan.Pardakht.Pers,20161106.0,16990.0,17245.0,16710.0,17078.0,158224606304.0,9264897.0,5426.0,D,16424.0,17000.0
Asan.Pardakht.Pers,20161107.0,17199.0,17451.0,16755.0,17038.0,67571317366.0,3965995.0,3262.0,D,17078.0,16807.0
Asan.Pardakht.Pers,20161108.0,16715.0,16999.0,16302.0,16665.0,81397130620.0,4884195.0,3167.0,D,17038.0,16600.0
Asan.Pardakht.Pers,20161109.0,15910.0,16159.0,15832.0,15875.0,154968491437.0,9761980.0,3809.0,D,16665.0,15950.0
Asan.Pardakht.Pers,20161112.0,16250.0,16290.0,15601.0,15896.0,41448847624.0,2607534.0,1605.0,D,15875.0,15740.0
Asan.Pardakht.Pers,20161113.0,15860.0,16234.0,15740.0,16008.0,33079892681.0,2066467.0,1728.0,D,15896.0,15970.0
Asan.Pardakht.Pers,20161114.0,16080.0,16290.0,15880.0,16007.0,24490599665.0,1530032.0,1168.0,D,16008.0,15900.0
