Name,Date,First,High,Low,Close,Value,Volume,Openint,Per,Open,Last
Iran.Counter-R,20050216,1948.0,1948.0,1948.0,1948.0,13117832,6734,1,D,1948.0,1948.0
Iran.Counter-R,20050222,1890.0,1890.0,1890.0,1890.0,2173500,1150,1,D,1948.0,1890.0
Iran.Counter-R,20050301,1778.0,1780.0,1778.0,1778.0,1796606,1010,4,D,1890.0,1778.0
Iran.Counter-R,20050302,1760.0,1760.0,1601.0,1686.0,52546030,31160,13,D,1778.0,1686.0
Iran.Counter-R,20050309,1800.0,1800.0,1800.0,1800.0,450000000,250000,14,D,1686.0,1800.0
Iran.Counter-R,20050312,1804.0,1804.0,1804.0,1804.0,35080584,19446,1,D,1800.0,1804.0
Iran.Counter-R,20050313,1841.0,1841.0,1841.0,1841.0,4609864,2504,1,D,1804.0,1841.0
Iran.Counter-R,20061120,250.0,250.0,250.0,250.0,488078250,1952313,79,D,1841.0,250.0
